## some extreme numbers
0.0.0.0/0
0.0.0.0/32
255.255.255.255/32

## plain IPs
192.168.0.42
!192.168.0.23

## plain IPs with given MACS
192.168.42.0	12:23:34:45:56:67
192.168.42.1	ab:bc:cd:ef:f0:11
192.168.42.2	10:11:10:10:10:ff

## some positive netmasks
42.0.0.0/255.255.255.0
23.0.0.0/8.15.0.255
127.0.0.0/8

## some negative netmasks
!127.128.0.0/9
!192.168.42.0/255.255.255.0
!192.168.23.0/12

## some netmasks with MACs
42.1.0.0/255.255.255.0		11:22:33:44:55:66
42.2.0.0/8.15.0.255		66:55:44:33:22:11
42.3.0.0/8			44:55:66:11:22:33


## some ranges
1.2.3.{1-2}
{2-3}.2.3.3			10:10:10:10:10:10
1.2.{10-12}.4			10:10:10:10:10:20
1.2.3.{5,6}
{2,3}.2.3.7			10:10:10:10:10:30
1.2.{3,4,10,11}.8		10:10:10:10:10:40

{1-2}.{3-4}.{5-6}.{9-10}	10:10:10:10:10:50
{1,2}.{3,4}.{5,6}.{11,12}	10:10:10:10:10:60
{1-2}.{3,4}.{5-6}.{13,14}	10:10:10:10:10:70

1.2.3.{15-17}/31		10:10:10:10:10:80


## the RANDOM/LOCAL/802.X style MACs
1.2.3.18			RANDOM
1.2.3.19			802.1d
1.2.3.20			802.3x
1.2.3.21			LOCAL

## the @MAC style
1.2.3.22@22:22:22:22:22:22			LOCAL
1.2.3.23@!23:23:23:23:23:23			LOCAL
1.2.3.24/31@24:24:24:24:24:24			LOCAL
1.2.3.26/31@!26:26:26:26:26:26			LOCAL
1.2.3.28/255.255.255.254@28:28:28:28:28:28	LOCAL
1.2.3.30/255.255.255.254@!30:30:30:30:30:30	LOCAL
